MMS Id,Permanent Call Number,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
998592810101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 80 July-Dec. 1988,0123500583802,39097014382635,,
998592810101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 8 1916,0123500582960,39097014382643,,
998592810101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 75 Jan.-Apr. 1983,0123500583703,39097014382734,,
998592810101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 78 Jan.-June 1986,0123500583745,39097014382742,,
998592810101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 79 July-Dec. 1987,0123500583786,39097014382759,,
996920650101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 9 1917,0123500582978,39097014382767,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 13 1921,0123500583018,39097014383054,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 12 1920,0123500583000,39097014383062,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 11 1919,0123500582994,39097014383070,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 10 1918,0123500582986,39097014383088,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 1 1909,0123500582895,39097014383096,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,Index: v. 78 1986,0123500583760,39097014383104,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,Index: v. 77 1985,0123500583737,39097014383112,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 15 1923,0123500583034,39097014383179,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 16 1924,0123500583042,39097014383187,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 17 1925,0123500583059,39097014383195,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 18 1926,0123500583067,39097014383203,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 19 1927,0123500583075,39097014383211,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 20 1928,0123500583083,39097014383229,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 21 1929,0123500583091,39097014383237,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 22 1930,0123500583109,39097014383245,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 2 1910,0123500582903,39097014383252,,
993659520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 23 1931,0123500583117,39097014383260,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 24 1932,0123500583125,39097014383278,,
993876370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 14 1922,0123500583026,39097014383286,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 25 1933,0123500583133,39097014383294,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 26 1934,0123500583141,39097014383302,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 27 1935,0123500583158,39097014383310,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 28 1936,0123500583166,39097014383328,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 29 1937,0123500583174,39097014383336,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 30 1938,0123500583182,39097014383344,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 3 1911,0123500582911,39097014383351,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 31 1939,0123500583190,39097014383369,,
