MMS ID,Normalized Call Number,Library Name,Location Name,Permanent Call Number,Title,Description,Base status,Barcode,Scanned Barcode,Notes/Comments
996166210101921,0bm 1 m52,,Stacks,BM1 .M52,Mi-dor dor.,1978/79,,0888800040949,39097014185756,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 18 (no 34-39) (1950-1951),,0888800043158,39097014236013,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 19 (no 40-43) (1952-1954),,0888800043166,39097014236138,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 20 (no 44-47) (1955),,0888800043174,39097014236252,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 21 (no 48-51) (1956),,0888800043182,39097014236377,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 22 (no 52-55) (1957),,0888800043190,39097014235882,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 23 (no 56-59) (1958),,0888800043208,39097014236005,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 24 (no 60-62) (1959),,0888800043216,39097014236120,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 25 (no 63-66) (1960),,0888800043224,39097014236245,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 26 (no 67-68) (1961),,0888800043232,39097014236369,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 27 (no 69-71) (1962),,0888800043240,39097014235874,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 28 (no 72-75) (1963),,0888800043257,39097014235999,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 29 (no 76-78) (Feb.-Sept. 1964),,0888800043265,39097014236112,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 30 (no 79-81) (Jan-July 1965),,0888800043273,39097014236237,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 31 (no 82-84) (Jan-Sept 1966),,0888800043281,39097014236351,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 32 (no 85-87) (Jan-Nov. 1967),,0888800043299,39097014235866,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 33 (no 88-89) (Mar-Sept 1968),,0888800043307,39097014235981,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 34 (no 90-91) (1969),,0888800043315,39097014236104,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 35 (no 92-93) (1970),,0888800043323,39097014236229,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 36 (no 94-96) (1971),,0888800043331,39097014236344,
996166780101921,"0hx""635 h4",,Stacks,HX635 .H4,Hedim : rivÊ»on ha-á¸²ibuts ha-artsi ha-shomer ha-tsaÊ»ir.,v. 37 (no 97-98) (1972),,0888800043349,39097014235858,
