MMS Id,Normalized Call Number,Library Name,Location Name,Permanent Call Number,Title,Description,Base Status,Barcode,Scanned Barcode,Notes/Comments,Retention Commitment
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.47(1986),Item in place,0123500351663,39097014560008,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.7(1937),Item in place,0123500351242,39097014560016,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.69:no.2(2009:Dec.),Item in place,B915864,39097014560024,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.70:no.2(2010:Dec.),Item in place,B1126478,39097014560024,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.73:no.1(2013:June),Item in place,B1592354,39097014560032,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.75:no.2(2015),Item in place,B2050535,39097014560040,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.15(1952),Item in place,0123500351325,39097014560057,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.20(1957),Item in place,0123500351374,39097014560065,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.25(1962),Item in place,0123500351424,39097014560073,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.30(1968),Item in place,0123500351481,39097014560081,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.35(1973),Item in place,0123500351531,39097014560099,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.39(1977),Item in place,0123500351572,39097014560107,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.43(1982),Item in place,0123500351622,39097014560115,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.48(1987),Item in place,0123500351671,39097014560123,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.8(1940-1945),Item in place,0123500351259,39097014560131,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.71:no.1(2011:June),Item in place,B1214213,39097014560149,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.73:no.2(2013:Dec.),Item in place,B1592355,39097014560156,,
993644560101921,0n 8 a75,Main Library,Stacks,N8 .A75,Artibus Asiae ...,v.76:no.1(2016),Item in place,B2059096,39097014560164,,
