MMS Id,Permanent Call Number,Column1,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 3 1979,0123500448352,39097014643705,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 4 1980,0123500448360,39097014643713,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 5 1981,0123500448378,39097014643721,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 6 1982,0123500448386,39097014643739,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 7 1983,0123500448394,39097014643747,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 8 1984,0123500448402,39097014643754,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 9 1985,0123500448410,39097014643762,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 10 1986,0123500448428,39097014643663,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 11 1987,0123500448436,39097014643671,,
993684040101921,PJ4501 .H44,,Main Library,Stacks,Item in place,Hebrew annual review.,v. 12 1990,0123500448444,39097014643689,,
993897580101921,PJ5021 .H4,,Main Library,Stacks,Item in place,Hebrew book review.,n.1-8 1965-69,0123500926522,39097014643994,,
993897580101921,PJ5021 .H4,,Main Library,Stacks,Item in place,Hebrew book review.,v. 2 no. 9-14 1970-72,0123500926530,39097014644000,,
993897580101921,PJ5021 .H4,,Main Library,Stacks,Item in place,Hebrew book review.,v. 3 spring 1973-spring 1974,0123500926548,39097014644018,,
993897580101921,PJ5021 .H4,,Main Library,Stacks,Item in place,Hebrew book review.,v. 4 1974,0123500926555,39097014644026,,
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.17(1976),0123500448469,39097014643770,,
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.18(1977),0123500448477,39097014643788,,
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.19(1978),0123500448485,39097014643796,,
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.20-21(1979-1980),0123500448493,39097014643804,,
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.22(1981),0123500448501,39097014643820,,
