MMS Id,Normalized Call Number,Library Name,Location Name,Permanent Call Number,Title,Description,Base Status,Barcode,Scanned Barcode,Notes/Comments,Retention Commitment
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.1-2(1938-1939),Item in place,0123500549712,39097014540018,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.11-12(1950-1951),Item in place,0123500549761,39097014540026,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.13-14(1952-1953),Item in place,0123500549779,39097014540034,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.15-16(1954-1955),Item in place,0123500549787,39097014540042,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.17-18(1956-1957),Item in place,0123500549795,39097014540059,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.19-20(1958-1959),Item in place,0123500549803,39097014540067,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.21-22(1960-1961),Item in place,0123500549811,39097014540075,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.23(1962),Item in place,0123500549829,39097014540083,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.24(1963),Item in place,0123500549837,39097014540091,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.25(1964),Item in place,0123500549845,39097014540109,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.26(1965),Item in place,0123500549852,39097014540117,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.27(1966),Item in place,0123500549860,39097014540125,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.28(1967),Item in place,0123500549878,39097014540133,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.29(1968),Item in place,0123500549886,39097014540141,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.3-4(1940-1941),Item in place,0123500549720,39097014540158,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.30(1969),Item in place,0123500549894,39097014540166,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.31(1970),Item in place,0123500549902,39097014540174,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.32(1971-1980),Item in place,0123500549910,39097014540182,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.34(1983),Item in place,0123500549928,39097014540190,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.35(1984),Item in place,0123500549936,39097014540208,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.36(1985),Item in place,0123500549944,39097014540216,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.37(1986),Item in place,0123500549951,39097014540224,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.38(1987),Item in place,0123500549969,39097014540232,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.39(1988),Item in place,0123500549977,39097014540240,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.40(1989),Item in place,0123500549985,39097014540257,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.41(1990),Item in place,0123500549993,39097014540265,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.5-6(1942-1944),Item in place,0123500549738,39097014540273,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.7-8(1945-1946),Item in place,0123500549746,39097014540281,,
993722230101921,0pa 9 c5,Main Library,Stacks,PA9 .C5,Classica et mediaevalia.,v.9-10(1948-1949),Item in place,0123500549753,39097014540299,,
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,Suppl.(2005),Item in place,B209156,39097012205630,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,Suppl.(2008),Item in place,B1515739,39097013157756,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.61(2007),Item in place,B769008,39097012910718,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
